type,chapter,location,japanese,english,row
text,The Vanished Princess,"Guardia Castle, 600 A.D.",HP・MPが回復した！[END],HP and MP recovered!,1934
text,The Vanished Princess,"Guardia Castle, 600 A.D.",[Young Woman] 料理長はキビしいけど、いい人よ。[END],"[Young Woman] The head cook is strict, but he's a good person.",1937
text,The Vanished Princess,"Guardia Castle, 600 A.D.",[Young Woman] へえ、キミがリーネ様を……[END],"[Young Woman] Hmm, you saved Leene-sama......?",1941
location,The Vanished Princess,,,,1944
text,The Vanished Princess,"Cathedral, 600 A.D.",[Nun] 私達は、世界の平和のために いのっておりますですことよ。 ウフフ……。[END],"[Nun] We are praying for the sake of world peace. U, hu, hu......",1950
text,The Vanished Princess,"Cathedral, 600 A.D.",[Nun] 一日もはやく、私達の明日が とりもどせますように……。 あら、おいしそうなニンゲ……,"[Nun] May we take back our tomorrow one day soon...... Oh my, tasty-looking huma......",1955
text,The Vanished Princess,"Cathedral, 600 A.D.",い、いえ、なんでもありませんわ、オホホ。[END],"N, no, it is nothing, o, ho, ho.",1957
text,The Vanished Princess,"Cathedral, 600 A.D.",[Nun] われらが、いだいなる主よ。 かよわく、力なき者達に、さばきの いかずちを……。　イヒヒヒ……。[END],"[Nun] O our great Lord. Upon the frail, powerless peoples, the thunder of judgment..... ee, hee, hee, hee......",1962
text,The Vanished Princess,"Cathedral, 600 A.D.",[Nun] さあ、あなた達も、かわいそうな 自分達のために、いのりをささげては いかがですか。　ククク……。[END],"[Nun] Come now, why do you not also offer up prayers for your own poor selves? Ku, ku, ku......",1967
text,The Vanished Princess,"Cathedral, 600 A.D.",ルッカ「何か見つけたの？[END],Lucca: Did you find something?,1969
text,The Vanished Princess,"Cathedral, 600 A.D.",ルッカ「かみかざり……？[END],Lucca: A hair ornament....?,1971
text,The Vanished Princess,"Cathedral, 600 A.D.",ルッカ「これ、ガルディア王家の 紋章じゃない！[END],Lucca: This's the Guardia royal family's coat of arms!,1974
text,The Vanished Princess,"Cathedral, 600 A.D.",ルッカ「ふ～。　ビックリした。[END],Lucca: Pheeew. What a shock.,1976
text,The Vanished Princess,"Cathedral, 600 A.D.",ルッカ「キャアッ！！[END],Lucca: Kyaah!!,1979
text,The Vanished Princess,"Cathedral, 600 A.D.",[Frog] 「最後まで気をぬくな。 勝利によいしれた時こそ スキが生じる。[END],[Frog] 'Don't let your guard down until the end. It's when you're drunk with victory that your guard's wide open.,1984
text,The Vanished Princess,"Cathedral, 600 A.D.",「お前達も王妃様をお助けしに来たのか？,'Did you come to aid the Queen too?,1986
text,The Vanished Princess,"Cathedral, 600 A.D.",この先はヤツらの巣みたいだな。 どうだ、いっしょに行かないか？[END],"It looks like it's their den from here on. How's this, would you come with me?",1989
text,The Vanished Princess,"Cathedral, 600 A.D.",ルッカ「あ、あなたは……！？,"Lucca: Y, you're......!?",1991
text,The Vanished Princess,"Cathedral, 600 A.D.",クロノ、知ってるでしょ。 私、カエル苦手なの……！[END],"Crono, you know, right? I can't handle frogs......!",1994
text,The Vanished Princess,"Cathedral, 600 A.D.",[Frog] 「まあ、こんなナリをしていては 信用しろと言っても無理か……。[END],"[Frog] 'Well, as long as I'm like this I guess it'd be pointless telling you to trust me......",1998
text,The Vanished Princess,"Cathedral, 600 A.D.",「いいだろう、好きにしろ。 だが王妃様は俺が助け出さなきゃ ならないんだ……。[END],"Fine, do what you want. But I've got to help the Queen out......",2002
text,The Vanished Princess,"Cathedral, 600 A.D.",ルッカ「ちょ、ちょっと……。[END],"Lucca: H, hold on......",2004
text,The Vanished Princess,"Cathedral, 600 A.D.",ルッカ「悪いカエ……、人では なさそうね……。 うーん……。[END],Lucca: You don't seem like a bad fro....... person........ Umm......,2008
text,The Vanished Princess,"Cathedral, 600 A.D.",ルッカ「どうする、クロノ？ カエル男といっしょに行く いっしょに行くのはイヤ[END],"Lucca: What'll we do, Crono? Go with the frogman Don't want to go together",2012
text,The Vanished Princess,"Cathedral, 600 A.D.",ルッカ「でも、私達だけじゃ この先ちょっと不安だわ……。[END],Lucca: But I'm a bit worried about what's ahead if it's just us......,2016
text,The Vanished Princess,"Cathedral, 600 A.D.",ルッカ「ガ……、ガマンして いっしょに行きましょう！[END],"Lucca: L...... let's put up with it, and go together!",2019
text,The Vanished Princess,"Cathedral, 600 A.D.",ルッカ「あなた、お名前は？[END],Lucca: What's your name?,2021
text,The Vanished Princess,"Cathedral, 600 A.D.",カエル「カエルでいいぜ。[END],Frog: Frog's fine.,2023
text,The Vanished Princess,"Cathedral, 600 A.D.",ルッカ「ええ、それじゃ…… お手やわらかにね、カエル。[END],"Lucca: Yes, well then...... Don't be too hard on me, Frog.",2026
text,The Vanished Princess,"Cathedral, 600 A.D.",カエル「ああ。きっと、この部屋の どこかに、かくし通路があるはずだ。 そこから奥へ行けるだろう。[END],Frog: Sure. I'm positive there should be a secret passage somewhere in this room. I'll bet we can get in the back from there.,2030
text,The Vanished Princess,"Cathedral, 600 A.D.",[Soldier] まさか……、人間か！？,[Soldier] It can't be...... you're humans!?,2033
text,The Vanished Princess,"Cathedral, 600 A.D.",この奥に王妃様がとらわれているのだ。 どうか王妃様をお助けしてくれ！[END],The Queen is imprisoned in the back. Please rescue the Queen!,2036
text,The Vanished Princess,"Cathedral, 600 A.D.",[Soldier] この建物のどこかに、にっくき魔王を まつった部屋があるらしい……。 そこにはお宝もあるようだぜ。[END],[Soldier] I heard there's a room somewhere in this building enshrining that hateful Magus...... I hear there's treasure there too.,2041
text,The Vanished Princess,"Cathedral, 600 A.D.",[System] ひみつのミアンヌ・ブロマイド[heart]を 見つけた！！[END],[System] Found the secret Mianu bromide[heart]!!,2046
text,The Vanished Princess,"Cathedral, 600 A.D.",[Hench] おい、こいつら、人間だぜ、兄キ！[END],"[Hench] Hey, these guys are humans, boss!",2049
text,The Vanished Princess,"Cathedral, 600 A.D.",[Hench] 俺達の、お宝ブロマイドを……！！[END],[Hench] Our prized bromide......!!,2053
text,The Vanished Princess,"Cathedral, 600 A.D.",[Hench] 女の子なんか、いじめちゃえ！！[END],[Hench] Bully the girls!!,2056
text,The Vanished Princess,"Cathedral, 600 A.D.",[Naga-ette] んん……、なんだあ？ ヒック！,[Naga-ette] Hmm...... what? Hic!,2060
text,The Vanished Princess,"Cathedral, 600 A.D.",お前らも、はやくもとの姿にもどれや。 いつまでも人間のカッコなんか してないでよ。ウイック！[END],You guys hurry up and turn back to your normal forms too. Don't go looking like HUMANS forever. Uhic!,2064
text,The Vanished Princess,"Cathedral, 600 A.D.",[Diablos] ち、もうすぐ交代の時間か、ヒャック。 あー、イヤだ、イヤだ、人間に化けるのは。 ダサイし、くさいし……。[END],"[Diablos] Tch, I guess it's almost time for my shift, hyak. Ah, ick, ick, disguising as a human. It's lame and it stinks......",2069
text,The Vanished Princess,"Cathedral, 600 A.D.",[Diablos] よし、交代する前にもう一度 魔王様のお姿でも、おがんでくると するかな。ヒャック！[END],"[Diablos] Okay, I guess I'll go worship Magus-sama's figure one more time before my shift. Hyak!",2074
text,The Vanished Princess,"Cathedral, 600 A.D.",[Naga-ette] こないだ食べた連中、そんなに マズくなかったわよね。,[Naga-ette] The ones we ate recently weren't all that nasty.,2078
text,The Vanished Princess,"Cathedral, 600 A.D.",とじこめてある、あのふたりの兵士も そのうちに……。 キシシシ……。[END],"And sooner or later, those two soldiers we have locked up...... Kee, shi, shi, shi......",2082
text,The Vanished Princess,"Cathedral, 600 A.D.",[Hench] ヤクラ様の計画はバッチリだな！ 大臣をつかまえて、自分が大臣に化けるとは いや～、さすがヤクラ様だぜ。,"[Hench] Yakra-sama's plan is perfect! Capturing the chancellor and disguising himself as the chancellor, oh, I'd except nothing less of Yakra-sama.",2087
text,The Vanished Princess,"Cathedral, 600 A.D.",そのおかげで王妃もカンタンに さらってこられたし、いまごろは城の連中 てんてこまいだろうよ。ウヒャヒャ。[END],"Thanks to that we kidnapped the queen easy, and I'll bet all them at the castle are going nuts by now. Uhyahya.",2091
text,The Vanished Princess,"Cathedral, 600 A.D.",[King] よくぞ、来られた。 ここの主人ヤクラ様も きっとおよろこびになるであろう。,"[King] Good of you to come. The master here, Yakra-sama, will surely be pleased as well.",2096
text,The Vanished Princess,"Cathedral, 600 A.D.",ささ、ヤクラ様がアイサツにみえるまで この部屋でゆっくりと休むがよいぞ。[END],"Now then, you should rest in this room until Yakra-sama can see to you.",2099
text,The Vanished Princess,"Cathedral, 600 A.D.",[Queen] 私を助けに来てくれたのですね。 しかし、それにはおよびませんよ。,"[Queen] You came to rescue me. However, that was not necessary.",2103
text,The Vanished Princess,"Cathedral, 600 A.D.",ここの主人のヤクラ様は、とてもよい方。 私は、ここにすむことにしました。 さあ、あなた達も楽になさって。[END],"The master here, Yakra-sama, is a very good person. I have decided to live here. Now, you make yourselves at home as well.",2107
text,The Vanished Princess,"Cathedral, 600 A.D.",[Soldier] も、もしや、リーネ王妃様を 助けに来られた方々では！？,"[Soldier] C, could it be that you are persons come to rescue the Queen!?",2112
text,The Vanished Princess,"Cathedral, 600 A.D.",おお、やはりそうであったか！[END],"Oh, so you really were!",2114
text,The Vanished Princess,"Cathedral, 600 A.D.",[Demons] そんな、あわてて出ていかなくとも どうぞ、ゆっくりしていってください…… なギャギャギャギャ……！！[END],"[Demons] Don't be in such a rush to leave, please, take your time here...... Na, gya, gya, gya, gya......!!",2119
text,The Vanished Princess,"Cathedral, 600 A.D.",[Demons] ああ　魔王様～[note] 魔王様～[note] 輝くひとみ　そよぐかみ[note] 山より高く　海より深い[note],"[Demons] Ah, Magus-sama~[note] Magus-sama~[note] Shining eyes, wind-blown hair[note] Higher than mountains, deeper than seas[note]",2125
text,The Vanished Princess,"Cathedral, 600 A.D.",どんなにはれた、さびしいひるも[note] あなたを思えば、こわくない[note] どんなに明るく、かなしい場所でも[note] あなたがいるなら、へっちゃら　ぷー[note][END],"However sunny and lonely the day,[note] If we think of you, we're not afraid[note] However bright and sad the place,[note] If you're there, we're fine   puu[note]",2130
text,The Vanished Princess,"Cathedral, 600 A.D.",コーラス　ああ　魔王様ったら[note] 魔王様～[note] われらが　すくいの[note] 魔王様～[note][END],"Chorus: Ah, Magus-sama[note] Magus-sama~[note] Our savior[note] Magus-sama~[note]",2135
text,The Vanished Princess,"Cathedral, 600 A.D.",[Demons] さあ、お前達も声をあわせて うたうんだよ、お前達自身の とむらいの歌！ ウギャギャッ！！[END],"[Demons] Now, you join your voices with us and sing too, the song of your own funeral! Ugya, gyah!!",2141
text,The Vanished Princess,"Cathedral, 600 A.D.",[Demons] 待てッ！　クセ者どもめが！！ ゲハゲハ……！[END],"[Demons] Wait! You fiends!! pant, wheeze......!",2145
text,The Vanished Princess,"Cathedral, 600 A.D.",はりがみ「ここは、通れません。[END],Notice: You cannot pass here.,2148
text,The Vanished Princess,"Cathedral, 600 A.D.",はりがみ「行こうと心を決めた者のみが 行ける道がある。[END],Notice: There is a way that only those who have decided their hearts to go can go.,2151
text,The Vanished Princess,"Cathedral, 600 A.D.",[Hench] グガー……、ゴガガー……。,[Hench] ZzzZz...... zZzzZzzzZz......,2154
text,The Vanished Princess,"Cathedral, 600 A.D.",う～ん、いや～ん、バカ。 だから、そこはダミだってばさ……。[END],"Uhn, nhoo, silly. I told you, you can't, not there......",2157
text,The Vanished Princess,"Cathedral, 600 A.D.",ハアッ！？[END],Haaa!?,2159
text,The Vanished Princess,"Cathedral, 600 A.D.",この私の後ろをとるとは……！？ ただ者ではないな、きさまら！[END],How could you have gotten behind me......!? You bastards aren't just anyone!,2162
text,The Vanished Princess,"Cathedral, 600 A.D.",[Chancellor] 「かくごはいいかな、リーネ王妃？ この世にさよならをつげる時間だ。[END],"[Chancellor] 'I wonder if you're prepared, Queen Leene? It's time to say goodbye to this world.",2166
text,The Vanished Princess,"Cathedral, 600 A.D.",大臣「ほう、お前達……！！ よくここまで、もぐりこめたな。[END],Chancellor: Oh? You......!! You've done well to have been able to slip in this far.,2169
text,The Vanished Princess,"Cathedral, 600 A.D.",リーネ「カエル！[END],Leene: Frog!,2171
text,The Vanished Princess,"Cathedral, 600 A.D.",カエル「王妃様、お下がりください！ こいつを、かたづけちまいますので。[END],"Frog: Your Majesty, please step back! We will take care of this one.",2174
text,The Vanished Princess,"Cathedral, 600 A.D.",リーネ「気をつけて……。[END],Leene: Be careful......,2176
text,The Vanished Princess,"Cathedral, 600 A.D.",大臣「ギャハハ……！　ムダ、ムダ！ ここからは誰一人として 生かして帰さぬぞ！[END],"Chancellor: Gya, ha, ha......! Useless, useless! I won't let a single one of you leave here alive!",2180
text,The Vanished Princess,"Cathedral, 600 A.D.",大臣「ハッ！　カエルふぜいが……！ きさまらから血まつりだ！！[END],Chancellor: Hah! Worthless frog......! You bastards are making my blood boil!!,2183
text,The Vanished Princess,"Cathedral, 600 A.D.",大臣「だいじーん…… チェーンジッ！！[END],Chancellor: Chancellor...... Change!!,2186
text,The Vanished Princess,"Cathedral, 600 A.D.",[System] ヤ～クラ～ッ！！　デロデロン！！[END],[System] Yaaakraaa!! Ta-da!!,2189
text,The Vanished Princess,"Cathedral, 600 A.D.",リーネ「やはり、来てくれたのですね。 ありがとう、カエル……。[END],"Leene: I knew you would come for me. Thank you, Frog......",2192
text,The Vanished Princess,"Cathedral, 600 A.D.",カエル「王が心配しておいでです。 城に戻りましょう。[END],Frog: The King is worried about you. Let us return to the castle.,2195
text,The Vanished Princess,"Cathedral, 600 A.D.",カエル「助かったぜ、クロノ。 ルッカ。[END],"Frog: Thanks for your help, Crono, Lucca.",2198
text,The Vanished Princess,"Cathedral, 600 A.D.",リーネ「ありがとうございました。 あなた方も、どうか共にお城の方へ いらしてください。[END],Leene: Thank you very much. Please come to the castle along with us as well.,2202
text,The Vanished Princess,"Cathedral, 600 A.D.",リーネ「ええ。 それでは、お城へもどりましょう。[END],"Leene: Yes. Well then, let us return to the castle.",2205
text,The Vanished Princess,"Cathedral, 600 A.D.",本物の大臣「ま、待ってくれ～い！ 本物のわしは、これ、このとーり ぴんぴんしとるぞ！！[END],"Real Chancellor: W, wait for meeee! The real me is here, just fine, as you can see!!",2209
text,The Vanished Princess,"Cathedral, 600 A.D.",本物の大臣「ふーっ、助かったわい！ あの化け物め、あんなとこに おしこめおってからに……！[END],"Real Chancellor: Phew, I'm saved! That damn monster, shutting me up in a place like that......!",2213
text,The Vanished Princess,"Cathedral, 600 A.D.",大臣「おお、王妃様！？ 本物のわしは、これこのとーり。 ぴんぴんしておりますですじゃ！[END],"Chancellor: Oh, the Queen!? The real me is here, as you can see. I am just fine!",2217
location,The Vanished Princess,,,,2219
text,The Vanished Princess,"Guardia Castle, 600 A.D.",ガルディア王「心配したぞリーネ。[END],"King Guardia: I was worried about you, Leene.",2222
text,The Vanished Princess,"Guardia Castle, 600 A.D.",カエル「リーネ様を守りきれず めんぼくしだいもございません。[END],"Frog: Unable to protect Leene-sama to the end, I am without honor.",2226
text,The Vanished Princess,"Guardia Castle, 600 A.D.",リーネ「カエル！[END],Leene: Frog!,2229
text,The Vanished Princess,"Guardia Castle, 600 A.D.",大臣「あのヤクラのヤツめ。 このワシになりかわり リーネ様をさらうなど……,"Chancellor: That damn Yakra. Replacing me, kidnapping Leene-sama, and all that......",2233
text,The Vanished Princess,"Guardia Castle, 600 A.D.",ああいうやからをキビしくさばくため このガルディア王国にも、裁判所や 刑務所を作らんといけませんな！[END],This Guardia Kingdom must build a courthouse and prison to strictly judge that sort!,2237
text,The Vanished Princess,"Guardia Castle, 600 A.D.",[King] れいを言うぞ、クロノ殿。 しかし、すると裏山で見つかったあの娘は 一体誰なのじゃ……。[END],"[King] I thank you, Crono-dono. However, who on earth, then, is the girl who was found in the back hills......?",2242
text,The Vanished Princess,"Guardia Castle, 600 A.D.",リーネ「助けていただき、本当に ありがとうございました。,Leene: I truly thank you very much for saving me.,2245
text,The Vanished Princess,"Guardia Castle, 600 A.D.",あと少し、あなたがたの来るのが おそければ、私はどうなっていたか……,"If you had come a little later, what would have become of me....?",2248
text,The Vanished Princess,"Guardia Castle, 600 A.D.",ところで、私にまちがえられたという 娘は今はどちらに？[END],"By the way, where is the girl they say was mistaken for me now?",2251
text,The Vanished Princess,"Guardia Castle, 600 A.D.",ルッカ「そうだわ！ すっかりマールディア姫の事を わすれてたわ！[END],Lucca: That's right! I'd completely forgotten about Princess Marledia!,2255
text,The Vanished Princess,"Guardia Castle, 600 A.D.",ルッカ「ね、クロノ！ マールディア様は、どこで消えた？ もしかしたら、そこに……。[END],"Lucca: Hey, Crono! Where did Marledia-sama disappear? Maybe there......",2259
text,The Vanished Princess,"Guardia Castle, 600 A.D.",[Young Woman] やっぱり本物のリーネ様は別の所に いたわけね。 私のすいり通りだったわ。[END],[Young Woman] That means the real Leene-sama was somewhere else after all. It's just like I figured.,2265
text,The Vanished Princess,"Guardia Castle, 600 A.D.",[Young Woman] けど本当にリーネ様そっくりで わたしゃビックリだよ。[END],[Young Woman] But I'm shocked that she really looks just like Leene-sama.,2269
text,The Vanished Princess,"Guardia Castle, 600 A.D.",ルッカ「マールディア王女！[END],Lucca: Princess Marledia!,2271
text,The Vanished Princess,"Guardia Castle, 600 A.D.",マール「あ、あれ？[END],"Marle: Wh, wha?",2273
text,The Vanished Princess,"Guardia Castle, 600 A.D.",マール「クロノ！[END],Marle: Crono!,2276
text,The Vanished Princess,"Guardia Castle, 600 A.D.",マール「こわかった……,Marle: I was scared......,2278
text,The Vanished Princess,"Guardia Castle, 600 A.D.",いしきがないのに、冷たい所にいるのが わかるの。,"Even though I'm not conscious, knowing I'm in a cold place.",2281
text,The Vanished Princess,"Guardia Castle, 600 A.D.",死ぬってああいう感じなのかしら？[END],I wonder if dying feels like that?,2283
text,The Vanished Princess,"Guardia Castle, 600 A.D.",ルッカ「マールディア王女様 ごきげんうるわしゅう……[END],"Lucca: Princess Marledia-sama, may you be in good spirits......",2287
text,The Vanished Princess,"Guardia Castle, 600 A.D.",マール「あなたも来てくれてたの！ マールディアって……,Marle: You came for me too! Marledia......?,2290
text,The Vanished Princess,"Guardia Castle, 600 A.D.",え！？[END],Huh!?,2292
text,The Vanished Princess,"Guardia Castle, 600 A.D.",マール「バレちゃったみたいね……。[END],Marle: Looks like I've been found out......,2295
text,The Vanished Princess,"Guardia Castle, 600 A.D.",マール「ゴメンね、クロノ。 だますつもりじゃなかったの。[END],"Marle: Sorry, Crono. I didn't mean to trick you.",2299
text,The Vanished Princess,"Guardia Castle, 600 A.D.",マール「私はマールディア。 父はガルディア王33世……。,Marle: I am Marledia. My father is King Guardia the 33rd......,2302
text,The Vanished Princess,"Guardia Castle, 600 A.D.",けど私だってお祭りを男の子と 見てまわりたかったんだもん。 私が王女だってわかってたら……[END],But even I wanted to wander around and look at the fair with a boy. If you had known that I was a princess......,2306
text,The Vanished Princess,"Guardia Castle, 600 A.D.",マール「クロノは、いっしょに お祭り見てくれなかったでしょ？ はい いいえ[END],"Marle: Crono, you wouldn't have seen the festival with me, right? Yes No",2311
text,The Vanished Princess,"Guardia Castle, 600 A.D.",マール「でしょ？ 私は王女様よりマールって いわれる方が好きだもん！[END],Marle: See? And I like being called Marle better than Princess!,2315
text,The Vanished Princess,"Guardia Castle, 600 A.D.",マール「さっすがクロノ！ 私達、友達よね！[END],"Marle: That's just like you, Crono! We're friends!",2318
text,The Vanished Princess,"Guardia Castle, 600 A.D.",マール「本物の王妃様も無事に もどったんでしょ？ 私達も帰ろうよ、クロノ！[END],"Marle: The real Queen came back safely too, right? Let's go home too, Crono!",2322
text,The Vanished Princess,"Guardia Castle, 600 A.D.",[Knight] ふーむ、見れば見るほどリーネ様に 似ていらっしゃる！[END],"[Knight] Hmm, the more I look the more she looks like Leene-sama!",2326
text,The Vanished Princess,"Guardia Castle, 600 A.D.",[Young Woman] あんた達、帰るのかい？ どこまで帰るか知らないけど 気をつけてお行きよ。[END],"[Young Woman] You guys going home? I don't know how far you're going, but be careful on your way.",2331
text,The Vanished Princess,"Guardia Castle, 600 A.D.",[Knight] これで騎土団長も対魔王軍にせんねん 出来る。[END],"[Knight] Now the Knight Captain can give his undivided attention to opposing Magus's army, too.",2335
text,The Vanished Princess,"Guardia Castle, 600 A.D.",[Chancellor] おお、ほんにリーネ様に生きうつしじゃ！[END],"[Chancellor] Oh, you really are like a living copy of Leene-sama!",2339
text,The Vanished Princess,"Guardia Castle, 600 A.D.",[King] おお、無事じゃったか。 たしかに外見はリーネだが、中身はぜんぜん ……,"[King] Oh, so you were safe. Your appearance is certainly Leene's, but your substance is not at all......",2344
text,The Vanished Princess,"Guardia Castle, 600 A.D.",いや、そなたらには世話になった。 何かあれば国をあげて力になるぞ。[END],"Never mind, I am indebted to you all. If something comes up, I will have the country assist you.",2348
text,The Vanished Princess,"Guardia Castle, 600 A.D.",マール「あなたが本物のリーネね！[END],Marle: You must be the real Leene!,2350
text,The Vanished Princess,"Guardia Castle, 600 A.D.",リーネ「まあ、ほんとに私にうりニつ。[END],"Leene: My, you really are as like me as two peas in a pod.",2354
text,The Vanished Princess,"Guardia Castle, 600 A.D.",マール「ちゃんと王様と仲良くしないと 私おこっちゃう……,"Marle: If you don't get along well with the King, I'll get mad......",2357
text,The Vanished Princess,"Guardia Castle, 600 A.D.",事も出来ないのか。[END],I guess I can't either.,2360
text,The Vanished Princess,"Guardia Castle, 600 A.D.",リーネ「？？[END],Leene: ??,2362
text,The Vanished Princess,"Guardia Castle, 600 A.D.",マール「ううん、とにかく おしあわせにね！[END],"Marle: Never mind, anyway, may you live happily ever after!",2365
text,The Vanished Princess,"Guardia Castle, 600 A.D.",[Queen] あなたがたは、何となく他人とは 思えませんわ。[END],"[Queen] For some reason or another, I can't think of you as strangers.",2369
text,The Vanished Princess,"Guardia Castle, 600 A.D.",[Knight] お二人がそろわれるのは、ひさしぶりだ。[END],[Knight] It's been a while since those two were both here.,2372
text,The Vanished Princess,"Guardia Castle, 600 A.D.",[Knight] やはり、リーネ様ではなかったか。[END],[Knight] I guess she really wasn't Leene-sama.,2376
text,The Vanished Princess,"Guardia Castle, 600 A.D.",[Knight] リーネ様じゃなかったとはな。[END],[Knight] Never imagined she wasn't Leene-sama.,2379
text,The Vanished Princess,"Guardia Castle, 600 A.D.",[Knight] あのカエル野郎にも、そんな勇気が あったか。[END],[Knight] So that frog bastard had such bravery too.,2384
text,The Vanished Princess,"Guardia Castle, 600 A.D.",[Knight] わからんぞ、スパイと思わせないための 行動かもしれん。[END],"[Knight] I dunno, he might have acted so as to seem like he's not a spy.",2388
text,The Vanished Princess,"Guardia Castle, 600 A.D.",[Young Woman] 魔物が大臣様に化けてたなんて…… もっともニセモノの方が品はよかったけど。[END],"[Young Woman] A monster turning into the chancellor...... The fake was better quality, though.",2392
text,The Vanished Princess,"Guardia Castle, 600 A.D.",カエル「俺が近くにいたため 王妃様を危険にさらしたのだ……。,Frog: The Queen was exposed to danger because I was near......,2396
text,The Vanished Princess,"Guardia Castle, 600 A.D.",俺は城を出る。[END],I'm leaving the castle.,2398
text,The Vanished Princess,"Guardia Castle, 600 A.D.",マール「キャッ！[END],Marle: Kyah!,2400
text,The Vanished Princess,"Guardia Castle, 600 A.D.",カエル「なるほど、王妃様によく似て おいでだ。[END],"Frog: I see, you greatly resemble the Queen.",2403
text,The Vanished Princess,"Guardia Castle, 600 A.D.",カエル「クロノ、お前の太刀すじは なかなか見込みがあったぞ。[END],"Frog: Crono, your swordsmanship had considerable promise.",2406
text,The Vanished Princess,"Guardia Castle, 600 A.D.",ルッカ「……,Lucca: ......,2408
text,The Vanished Princess,"Guardia Castle, 600 A.D.",カエルも悪くないもんね。[END],"You're not bad either, Frog.",2410
text,The Vanished Princess,"Guardia Castle, 600 A.D.",[Soldier] お前はこれから、かおパスだな。[END],[Soldier] You can pass freely from now on.,2414
text,The Vanished Princess,"Guardia Castle, 600 A.D.",[Soldier] ヤクラを倒すなんて、お前ホント ラッキーだな。[END],"[Soldier] You're really lucky, beating Yakra.",2419
text,The Vanished Princess,"Guardia Castle, 600 A.D.",[Soldier] これで、王もご安心だ。[END],[Soldier] The King will be relieved too now.,2422
text,The Vanished Princess,"Guardia Castle, 600 A.D.",[Soldier] やはりリーネ様がいると城内が明るいな。[END],[Soldier] The whole castle really is cheery when Leene-sama is here.,2426
text,The Vanished Princess,"Guardia Castle, 600 A.D.",[Knight Captain] そうか、あの修道院に…… カエルのヤツも、りっぱにお役目を はたしたな。,"[Knight Captain] I see, in that abbey...... That frog guy did a fine job of carrying out his duty too.",2431
text,The Vanished Princess,"Guardia Castle, 600 A.D.",しかし、魔王軍もリーネ様ゆうかいに しっぱいした以上、ほんごしを入れて来る。 こんな時、サイラス様がいれば……。[END],"However, now that Magus's army has failed at the abduction of Leene-sama, they're getting serious. If only Cyrus were here in times like these......",2435
text,The Vanished Princess,"Guardia Castle, 600 A.D.",[Soldier] あとは魔王軍をたたくのみ！[END],[Soldier] All that's left is striking Magus's army!,2439
text,The Vanished Princess,"Guardia Castle, 600 A.D.",[Soldier] ヤクラも魔王軍のさしむけた 魔物だったか。[END],[Soldier] So Yakra was a monster Magus's army sent too.,2443
text,The Vanished Princess,"Guardia Castle, 600 A.D.",[Soldier] 修道院が魔物のアジトとはな。[END],[Soldier] Never imagined the abbey was a secret base for the monsters.,2447
text,The Vanished Princess,"Guardia Castle, 600 A.D.",[Soldier] リーネ様ゆうかいも、やはり魔王軍の しわざか。[END],[Soldier] So Leene-sama's abduction was also the doing of Magus's army after all.,2451
text,The Vanished Princess,"Guardia Castle, 600 A.D.",[Woman] 本物のリーネ様が？ こりゃ、ごちそうを作んないとね！[END],[Woman] The real Leene-sama? Gotta make a feast for this!,2455
text,The Vanished Princess,"Guardia Castle, 600 A.D.",[Chef] リーネ様じゃなかっただと？,[Chef] You're saying she wasn't Leene-sama?,2459
text,The Vanished Princess,"Guardia Castle, 600 A.D.",なんでえ、せっかくクレープを 作ってみたのに。,"Damn, and I went to all that trouble trying to make some crepe.",2462
text,The Vanished Princess,"Guardia Castle, 600 A.D.",クッキーとレバーの入ったスープだろ？[END],"It's soup with biscuits and liver in it, right?",2464
text,The Vanished Princess,"Guardia Castle, 600 A.D.",[Young Woman] リーネ様なら、ここに来てつまみ食い なんてしないものね。[END],[Young Woman] Leene-sama would never do such a thing as coming here to filch food before meals.,2471
text,The Vanished Princess,"Guardia Castle, 600 A.D.",[Young Woman] リーネ様にしては、よく食べると思った。[END],[Young Woman] I thought she ate a lot for Leene-sama.,2474
location,The Vanished Princess,,,,2477
text,The Vanished Princess,"Zenan Bridge, 600 A.D.",[Soldier] あのカエル野郎、およいで向こうへ わたって行きやがった。[END],[Soldier] That frog bastard swam his way across.,2482
location,The Vanished Princess,,,,2484
text,The Vanished Princess,"Truce Canyon, 600 A.D.",マール「どこから帰るの？[END],Marle: Where do we go back from?,2487
text,The Vanished Princess,"Truce Canyon, 600 A.D.",ルッカ「おそれながら、マールディア 王女……[END],"Lucca: Most humbly, Princess Marledia......",2490
text,The Vanished Princess,"Truce Canyon, 600 A.D.",マール「マールでいいってば！[END],"Marle: I'm telling you, Marle's fine!",2492
text,The Vanished Princess,"Truce Canyon, 600 A.D.",ルッカ「で、ではマール……。 ごらん下さい。[END],"Lucca: W, well then, Marle...... Please observe.",2495
text,The Vanished Princess,"Truce Canyon, 600 A.D.",マール「キャッ！[END],Marle: Kyah!,2497
text,The Vanished Princess,"Truce Canyon, 600 A.D.",マール「ルッカ、すっごーい！[END],"Marle: Lucca, that's aweeesome!",2499
text,The Vanished Princess,"Truce Canyon, 600 A.D.",ルッカ「オホホホ……！[END],"Lucca: O, ho, ho, ho......!",2502
text,The Vanished Princess,"Truce Canyon, 600 A.D.",ルッカ「し、失礼しました……！[END],"Lucca: Ex, excuse me......!",2504
